drug	protein	y
CHEMBL1087421	O00141	11.1
CHEMBL1087421	O14920	11.1
CHEMBL1087421	O15111	11.1
CHEMBL1087421	P00533	11.1
CHEMBL1087421	P04626	11.1
CHEMBL1087421	P06239	11.1
CHEMBL1087421	P07333	11.1
CHEMBL1087421	P15056	11.1
CHEMBL1087421	P24941	11.1
CHEMBL1087421	P28482	10.1
CHEMBL1087421	P45983	10.1
CHEMBL1087421	P45984	12.2
CHEMBL1087421	P49841	11.1
CHEMBL1087421	P53350	11.1
CHEMBL1087421	P53779	13
CHEMBL1087421	Q13464	11.1
CHEMBL1087421	Q16539	11.2
CHEMBL1088633	O00141	11.1
CHEMBL1088633	O14920	11.1
CHEMBL1088633	O15111	11.1
CHEMBL1088633	P00533	11.1
CHEMBL1088633	P04626	11.1
CHEMBL1088633	P06239	11.1
CHEMBL1088633	P07333	11.1
CHEMBL1088633	P15056	11.1
CHEMBL1088633	P24941	11.1
CHEMBL1088633	P28482	10.1
CHEMBL1088633	P45983	10.1
CHEMBL1088633	P45984	12
CHEMBL1088633	P49841	11.1
CHEMBL1088633	P53350	11.1
CHEMBL1088633	P53779	12.85
CHEMBL1088633	Q13464	11.1
CHEMBL1088633	Q16539	11.2
CHEMBL1090360	O00141	12.1
CHEMBL1090360	O00311	12
CHEMBL1090360	O14757	12.1161
CHEMBL1090360	O14965	13.3645
CHEMBL1090360	O15075	11.1
CHEMBL1090360	O15264	12.1161
CHEMBL1090360	O15530	11.5
CHEMBL1090360	O43293	12.1928
CHEMBL1090360	O60674	12.1753
CHEMBL1090360	O75116	12.1161
CHEMBL1090360	O75582	11.8
CHEMBL1090360	O95819	13.4
CHEMBL1090360	O96013	12.1252
CHEMBL1090360	O96017	12.1753
CHEMBL1090360	P00533	13.9866
CHEMBL1090360	P04626	13.8163
CHEMBL1090360	P04629	12.149
CHEMBL1090360	P06213	13.4018
CHEMBL1090360	P06239	13.5642
CHEMBL1090360	P06241	12.7021
CHEMBL1090360	P06493	12.1161
CHEMBL1090360	P07332	11.8
CHEMBL1090360	P07333	12.2139
CHEMBL1090360	P07948	14.1563
CHEMBL1090360	P07949	13.8001
CHEMBL1090360	P08069	13.6447
CHEMBL1090360	P08922	11.8
CHEMBL1090360	P10721	12.1928
CHEMBL1090360	P11309	12.1128
CHEMBL1090360	P11362	12.5
CHEMBL1090360	P12931	13.002
CHEMBL1090360	P15735	11.4
CHEMBL1090360	P17612	11.2
CHEMBL1090360	P23443	11.3
CHEMBL1090360	P24723	12.1
CHEMBL1090360	P24941	11.2
CHEMBL1090360	P27448	11.3
CHEMBL1090360	P28482	12.1161
CHEMBL1090360	P29317	12.8561
CHEMBL1090360	P29597	12.2139
CHEMBL1090360	P31751	12.1161
CHEMBL1090360	P35968	13.7668
CHEMBL1090360	P41743	11.4
CHEMBL1090360	P43405	12.3
CHEMBL1090360	P45983	12.7
CHEMBL1090360	P45984	13.7
CHEMBL1090360	P48729	11.3
CHEMBL1090360	P48730	12.3617
CHEMBL1090360	P49137	11.2
CHEMBL1090360	P49760	11.2
CHEMBL1090360	P49841	12.2391
CHEMBL1090360	P51617	11.2
CHEMBL1090360	P51812	11.2
CHEMBL1090360	P51955	12.7206
CHEMBL1090360	P52333	12.1753
CHEMBL1090360	P53350	12.1161
